                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.45236,                0.28309,                0.86314,                0.99955,                      1,                  0.995,                0.94029,                0.34018,                0.25103,                0.81057,              0.0009506,              0.0009506,              0.0009506
                     55,                0.45894,                0.27018,                0.83861,                0.99813,                      1,                  0.995,                0.92263,                0.40051,                0.27077,                0.81591,              0.0009308,              0.0009308,              0.0009308
                     56,                0.45919,                0.27995,                0.84428,                 0.9996,                      1,                  0.995,                0.92231,                0.38041,                0.25428,                0.80778,               0.000911,               0.000911,               0.000911
                     57,                0.45383,                0.27686,                0.84587,                0.99959,                      1,                  0.995,                0.92743,                0.39066,                0.27166,                0.80663,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.4658,                 0.2781,                0.85548,                0.99947,                      1,                  0.995,                0.94592,                 0.3115,                0.23475,                0.80622,              0.0008714,              0.0008714,              0.0008714
                     59,                0.43134,                0.27352,                0.83847,                0.99956,                      1,                  0.995,                0.93036,                0.31623,                0.24223,                0.80768,              0.0008516,              0.0008516,              0.0008516
                     60,                0.40471,                0.25264,                0.82868,                 0.9996,                      1,                  0.995,                0.95175,                0.31694,                0.23818,                0.80651,              0.0008318,              0.0008318,              0.0008318
                     61,                0.41623,                0.25896,                0.83577,                 0.9996,                      1,                  0.995,                0.94124,                0.31766,                0.22996,                0.80945,               0.000812,               0.000812,               0.000812
                     62,                0.41575,                0.26031,                0.83941,                0.99959,                      1,                  0.995,                0.94153,                0.32076,                0.24616,                0.80794,              0.0007922,              0.0007922,              0.0007922
                     63,                0.44039,                 0.2694,                0.85526,                0.99961,                      1,                  0.995,                0.93548,                0.33416,                0.24579,                0.81152,              0.0007724,              0.0007724,              0.0007724
                     64,                0.43407,                0.26167,                0.85186,                0.99961,                      1,                  0.995,                0.94662,                0.32777,                0.23629,                0.80498,              0.0007526,              0.0007526,              0.0007526
                     65,                0.42842,                0.26243,                0.84961,                0.99956,                      1,                  0.995,                 0.9496,                0.30664,                0.22674,                0.80435,              0.0007328,              0.0007328,              0.0007328
                     66,                0.42854,                0.26601,                0.83636,                0.99954,                      1,                  0.995,                0.94984,                0.31512,                0.23793,                0.80684,               0.000713,               0.000713,               0.000713
                     67,                0.43868,                0.26455,                0.85253,                 0.9996,                      1,                  0.995,                0.94985,                0.30569,                0.22456,                0.81285,              0.0006932,              0.0006932,              0.0006932
                     68,                0.42665,                0.26448,                0.83842,                0.99939,                      1,                  0.995,                0.95093,                0.29599,                 0.2244,                0.80365,              0.0006734,              0.0006734,              0.0006734
                     69,                0.39586,                0.24561,                0.83837,                 0.9996,                      1,                  0.995,                0.95815,                0.28872,                0.21686,                 0.8044,              0.0006536,              0.0006536,              0.0006536
                     70,                0.38998,                0.24147,                0.82965,                0.99962,                      1,                  0.995,                0.95065,                0.28171,                0.22083,                0.80438,              0.0006338,              0.0006338,              0.0006338
                     71,                0.41027,                0.24982,                0.82275,                0.99957,                      1,                  0.995,                0.95282,                0.29489,                0.22836,                0.80554,               0.000614,               0.000614,               0.000614
                     72,                0.41041,                0.24733,                0.84282,                0.99962,                      1,                  0.995,                0.94514,                0.28999,                0.22118,                 0.7989,              0.0005942,              0.0005942,              0.0005942
